subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Trump,2021-09-12,R,76.792488,19.971529,2021-09-12 12:57
Biden,2021-09-12,all,47.524851,44.885864,2021-09-12 12:57
Trump,2021-09-12,all,38.940859,57.001143,2021-09-12 12:57
Biden,2021-08-12,D,85.367978,11.233327,2021-08-12 11:54
Trump,2021-08-12,D,9.4143635,87.934516,2021-08-12 11:54
Biden,2021-08-12,I,41.74646,49.638196,2021-08-12 11:54
Trump,2021-08-12,I,35.912502,57.484054,2021-08-12 11:54
Biden,2021-08-12,R,15.427137,80.724567,2021-08-12 11:54
Trump,2021-08-12,R,76.792488,19.971529,2021-08-12 11:54
Biden,2021-08-12,all,46.942648,45.179735,2021-08-12 11:54
Trump,2021-08-12,all,38.940859,57.001143,2021-08-12 11:54
Trump,2021-07-12,R,76.792488,19.971529,2021-08-12 04:41
Trump,2021-07-12,I,35.912502,57.484054,2021-08-12 04:41
Trump,2021-07-12,D,9.4143635,87.934516,2021-08-12 04:41
Biden,2021-07-12,I,42.738643,48.348098,2021-08-12 04:41
Biden,2021-07-12,D,85.546026,10.865496,2021-08-12 04:41
Biden,2021-07-12,all,47.267603,44.719334,2021-08-12 04:41
Trump,2021-07-12,all,38.940859,57.001143,2021-08-12 04:41
Biden,2021-07-12,R,15.126387,80.792171,2021-08-12 04:41
Biden,2021-06-12,D,85.546026,10.865496,2021-06-12 12:02
Trump,2021-06-12,D,9.4143635,87.934516,2021-06-12 12:02
Biden,2021-06-12,I,42.738643,48.348098,2021-06-12 12:02
Trump,2021-06-12,I,35.912502,57.484054,2021-06-12 12:02
Biden,2021-06-12,R,15.126387,80.792171,2021-06-12 12:02
Trump,2021-06-12,R,76.792488,19.971529,2021-06-12 12:02
Biden,2021-06-12,all,47.267603,44.719334,2021-06-12 12:02
Trump,2021-06-12,all,38.940859,57.001143,2021-06-12 12:02
Trump,2021-05-12,R,76.792488,19.971529,2021-06-12 02:56
Biden,2021-05-12,all,47.841405,46.130803,2021-06-12 02:56
Trump,2021-05-12,all,38.940859,57.001143,2021-06-12 02:57
Trump,2021-05-12,D,9.4143635,87.934516,2021-06-12 02:56
Biden,2021-05-12,I,42.738643,48.348098,2021-06-12 02:56
Trump,2021-05-12,I,35.912502,57.484054,2021-06-12 02:56
Biden,2021-05-12,R,15.126387,80.792171,2021-06-12 02:56
Biden,2021-05-12,D,85.546026,10.865496,2021-06-12 02:56
Trump,2021-04-12,R,76.792488,19.971529,2021-06-12 02:56
Biden,2021-04-12,R,15.126387,80.792171,2021-06-12 02:56
Trump,2021-04-12,D,9.4143635,87.934516,2021-06-12 02:56
Trump,2021-04-12,I,35.912502,57.484054,2021-06-12 02:56
Biden,2021-04-12,D,85.546026,10.865496,2021-06-12 02:56
Biden,2021-04-12,I,42.738643,48.348098,2021-06-12 02:56
Trump,2021-04-12,all,38.940859,57.001143,2021-06-12 02:57
Biden,2021-04-12,all,47.841405,46.130803,2021-06-12 02:56
Trump,2021-03-12,R,76.792488,19.971529,2021-06-12 02:56
Trump,2021-03-12,I,35.912502,57.484054,2021-06-12 02:56
Biden,2021-03-12,all,47.841405,46.130803,2021-06-12 02:56
Biden,2021-03-12,I,42.738643,48.348098,2021-06-12 02:56
Biden,2021-03-12,R,15.126387,80.792171,2021-06-12 02:56
Biden,2021-03-12,D,85.546026,10.865496,2021-06-12 02:56
Trump,2021-03-12,all,38.940859,57.001143,2021-06-12 02:57
Trump,2021-03-12,D,9.4143635,87.934516,2021-06-12 02:56
Biden,2021-02-12,D,85.546026,10.865496,2021-02-12 09:22
Trump,2021-02-12,D,9.4143635,87.934516,2021-02-12 09:22
Biden,2021-02-12,I,42.738643,48.348098,2021-02-12 09:22
Trump,2021-02-12,I,35.912502,57.484054,2021-02-12 09:22
Biden,2021-02-12,R,15.126387,80.792171,2021-02-12 09:22
Trump,2021-02-12,R,76.792488,19.971529,2021-02-12 09:22
Biden,2021-02-12,all,47.841405,46.130803,2021-02-12 09:22
Trump,2021-02-12,all,38.940859,57.001143,2021-02-12 09:22
Biden,2021-01-12,D,85.546026,10.865496,2021-01-12 13:08
Trump,2021-01-12,D,9.4143635,87.934516,2021-01-12 13:08
Biden,2021-01-12,I,42.738643,48.348098,2021-01-12 13:08
Trump,2021-01-12,I,35.912502,57.484054,2021-01-12 13:08
Biden,2021-01-12,R,15.126387,80.792171,2021-01-12 13:08
Trump,2021-01-12,R,76.792488,19.971529,2021-01-12 13:08
Biden,2021-01-12,all,48.254186,45.953602,2021-01-12 13:08
Trump,2021-01-12,all,38.940859,57.001143,2021-01-12 13:08
Biden,2021-30-11,D,85.222842,11.386868,2021-30-11 06:54
Trump,2021-30-11,D,9.4143635,87.934516,2021-30-11 06:54
Biden,2021-30-11,I,42.68177,49.963373,2021-30-11 06:54
Trump,2021-30-11,I,35.912502,57.484054,2021-30-11 06:54
Biden,2021-30-11,R,14.884332,81.131771,2021-30-11 06:54
Trump,2021-30-11,R,76.792488,19.971529,2021-30-11 06:54
Biden,2021-30-11,all,47.963734,46.356798,2021-30-11 06:54
Trump,2021-30-11,all,38.940859,57.001143,2021-30-11 06:54
Biden,2021-29-11,D,85.222842,11.386868,2021-29-11 14:21
Trump,2021-29-11,D,9.4143635,87.934516,2021-29-11 14:21
Biden,2021-29-11,I,42.68177,49.963373,2021-29-11 14:21
Trump,2021-29-11,I,35.912502,57.484054,2021-29-11 14:21
Biden,2021-29-11,R,14.884332,81.131771,2021-29-11 14:21
Trump,2021-29-11,R,76.792488,19.971529,2021-29-11 14:21
Biden,2021-29-11,all,47.963734,46.356798,2021-29-11 14:21
Trump,2021-29-11,all,38.940859,57.001143,2021-29-11 14:21
Biden,2021-28-11,D,85.222842,11.386868,2021-29-11 10:53
Biden,2021-28-11,I,42.68177,49.963373,2021-29-11 10:53
Trump,2021-28-11,all,38.940859,57.001143,2021-29-11 10:53
Biden,2021-28-11,R,14.884332,81.131771,2021-29-11 10:53
Trump,2021-28-11,I,35.912502,57.484054,2021-29-11 10:53
Trump,2021-28-11,D,9.4143635,87.934516,2021-29-11 10:53
Trump,2021-28-11,R,76.792488,19.971529,2021-29-11 10:53
Biden,2021-28-11,all,47.963734,46.356798,2021-29-11 10:53
Trump,2021-27-11,D,9.4143635,87.934516,2021-27-11 17:56
Trump,2021-27-11,all,38.940859,57.001143,2021-27-11 17:56
Trump,2021-27-11,R,76.792488,19.971529,2021-27-11 17:56
Biden,2021-27-11,D,85.222842,11.386868,2021-27-11 17:56
Biden,2021-27-11,I,42.68177,49.963373,2021-27-11 17:56
Trump,2021-27-11,I,35.912502,57.484054,2021-27-11 17:56
Biden,2021-27-11,all,47.963734,46.356798,2021-27-11 17:56
Biden,2021-27-11,R,14.884332,81.131771,2021-27-11 17:56
Trump,2021-26-11,I,35.912502,57.484054,2021-27-11 17:56
Trump,2021-26-11,all,38.940859,57.001143,2021-27-11 17:56
Biden,2021-26-11,D,85.222842,11.386868,2021-27-11 17:56
Biden,2021-26-11,all,47.963734,46.356798,2021-27-11 17:56
Trump,2021-26-11,R,76.792488,19.971529,2021-27-11 17:56
Biden,2021-26-11,R,14.884332,81.131771,2021-27-11 17:56
Trump,2021-26-11,D,9.4143635,87.934516,2021-27-11 17:56
Biden,2021-26-11,I,42.68177,49.963373,2021-27-11 17:56
Biden,2021-25-11,R,14.884332,81.131771,2021-27-11 17:56
Trump,2021-25-11,D,9.4143635,87.934516,2021-27-11 17:56
Biden,2021-25-11,I,42.68177,49.963373,2021-27-11 17:56
Biden,2021-25-11,D,85.222842,11.386868,2021-27-11 17:56
Trump,2021-25-11,all,38.940859,57.001143,2021-27-11 17:56
Trump,2021-25-11,I,35.912502,57.484054,2021-27-11 17:56
Biden,2021-25-11,all,47.963734,46.356798,2021-27-11 17:56
Trump,2021-25-11,R,76.792488,19.971529,2021-27-11 17:56
Biden,2021-24-11,D,85.222842,11.386868,2021-24-11 09:09
Trump,2021-24-11,D,9.4143635,87.934516,2021-24-11 09:09
Biden,2021-24-11,I,42.68177,49.963373,2021-24-11 09:09
Trump,2021-24-11,I,35.912502,57.484054,2021-24-11 09:09
Biden,2021-24-11,R,14.884332,81.131771,2021-24-11 09:09
Trump,2021-24-11,R,76.792488,19.971529,2021-24-11 09:09
Biden,2021-24-11,all,47.963734,46.356798,2021-24-11 09:09
Trump,2021-24-11,all,38.940859,57.001143,2021-24-11 09:09
Trump,2021-23-11,I,35.912502,57.484054,2021-24-11 07:37
Biden,2021-23-11,I,42.67147,49.486163,2021-24-11 07:37
Biden,2021-23-11,D,85.154784,11.506585,2021-24-11 07:37
Trump,2021-23-11,R,76.792488,19.971529,2021-24-11 07:37
Trump,2021-23-11,D,9.4143635,87.934516,2021-24-11 07:37
Biden,2021-23-11,R,14.583325,81.381535,2021-24-11 07:37
Biden,2021-23-11,all,47.995156,46.419208,2021-24-11 07:37
Trump,2021-23-11,all,38.940859,57.001143,2021-24-11 07:37
Biden,2021-22-11,D,85.154784,11.506585,2021-22-11 12:49
Trump,2021-22-11,D,9.4143635,87.934516,2021-22-11 12:49
Biden,2021-22-11,I,42.67147,49.486163,2021-22-11 12:49
Trump,2021-22-11,I,35.912502,57.484054,2021-22-11 12:49
Biden,2021-22-11,R,14.583325,81.381535,2021-22-11 12:49
Trump,2021-22-11,R,76.792488,19.971529,2021-22-11 12:49
Biden,2021-22-11,all,47.995156,46.419208,2021-22-11 12:49
Trump,2021-22-11,all,38.940859,57.001143,2021-22-11 12:49
Biden,2021-21-11,R,14.583325,81.381535,2021-22-11 09:31
Biden,2021-21-11,I,42.67147,49.486163,2021-22-11 09:31
Trump,2021-21-11,D,9.4143635,87.934516,2021-22-11 09:31
Trump,2021-21-11,R,76.792488,19.971529,2021-22-11 09:31
Trump,2021-21-11,all,38.940859,57.001143,2021-22-11 09:31
Trump,2021-21-11,I,35.912502,57.484054,2021-22-11 09:31
Biden,2021-21-11,all,47.995156,46.419208,2021-22-11 09:31
Biden,2021-21-11,D,85.154784,11.506585,2021-22-11 09:31
Trump,2021-20-11,I,35.912502,57.484054,2021-22-11 09:31
Biden,2021-20-11,R,14.583325,81.381535,2021-22-11 09:31
Trump,2021-20-11,all,38.940859,57.001143,2021-22-11 09:31
Trump,2021-20-11,R,76.792488,19.971529,2021-22-11 09:31
Trump,2021-20-11,D,9.4143635,87.934516,2021-22-11 09:31
Biden,2021-20-11,D,85.154784,11.506585,2021-22-11 09:31
Biden,2021-20-11,all,47.995156,46.419208,2021-22-11 09:31
Biden,2021-20-11,I,42.67147,49.486163,2021-22-11 09:31
Biden,2021-19-11,D,85.112274,11.621445,2021-19-11 14:56
Trump,2021-19-11,D,9.4143635,87.934516,2021-19-11 14:56
Biden,2021-19-11,I,43.073956,48.928005,2021-19-11 14:56
Trump,2021-19-11,I,35.912502,57.484054,2021-19-11 14:56
Biden,2021-19-11,R,14.98664,81.055184,2021-19-11 14:56
Trump,2021-19-11,R,76.792488,19.971529,2021-19-11 14:56
Biden,2021-19-11,all,48.23428,46.193248,2021-19-11 14:56
Trump,2021-19-11,all,38.940859,57.001143,2021-19-11 14:56
Biden,2021-18-11,D,84.716049,11.948974,2021-18-11 21:15
Trump,2021-18-11,D,9.4143635,87.934516,2021-18-11 21:15
Biden,2021-18-11,I,42.858359,49.071064,2021-18-11 21:15
Trump,2021-18-11,I,35.912502,57.484054,2021-18-11 21:15
Biden,2021-18-11,R,14.936114,80.963963,2021-18-11 21:15
Trump,2021-18-11,R,76.792488,19.971529,2021-18-11 21:15
Biden,2021-18-11,all,47.918494,46.431461,2021-18-11 21:15
Trump,2021-18-11,all,38.940859,57.001143,2021-18-11 21:15
Biden,2021-17-11,D,83.926103,12.637575,2021-17-11 09:12
Trump,2021-17-11,D,9.4143635,87.934516,2021-17-11 09:12
Biden,2021-17-11,I,44.153183,48.366236,2021-17-11 09:12
Trump,2021-17-11,I,35.912502,57.484054,2021-17-11 09:12
Biden,2021-17-11,R,16.26865,79.754117,2021-17-11 09:12
Trump,2021-17-11,R,76.792488,19.971529,2021-17-11 09:12
Biden,2021-17-11,all,48.86802,45.520492,2021-17-11 09:12
Trump,2021-17-11,all,38.940859,57.001143,2021-17-11 09:12
Trump,2021-16-11,R,76.792488,19.971529,2021-16-11 08:58
Biden,2021-16-11,I,43.756599,47.885015,2021-16-11 08:58
Trump,2021-16-11,all,38.940859,57.001143,2021-16-11 08:58
Trump,2021-16-11,D,9.4143635,87.934516,2021-16-11 08:58
Biden,2021-16-11,D,84.111512,12.204257,2021-16-11 08:58
